    Аахен		Аа'хенъ (го'родъ)	
    абажур		абажу'ръ, на абажу'рѣ	
 	абассаменто		абассаме'нто (поднесе'ніе одно'й руки' подъ другу'ю при игрѣ' на фортепья'но)	 
 	Абашев		Аба'шевъ	 
 	аббат		абба'тъ	 
 	аббатимент		абба'тиментъ (поеди'нки, би'тва и вое'нные та'нцы на сце'нѣ)	 
 	аббревиатор		аббревіаторъ (та'йный писе'цъ па'пской канцеля'ріи)	 
 	аббревиатура		аббревіату'ра (сокраще'ніе нѣ'сколькихъ сло'въ)	 
 	аббревиация		аббревіа'ція (неразви'тіе о'ргановъ)	 
 	Абель		А'бель	 
 	Абеляр		Абеля'ръ	 
 	Абердиншир		Абердинши'ръ	 
 	аберрация		аберра'ція (искаже'ніе)	 
 	абитуриент		абитуріе'нтъ	 
 	аблегат		аблега'тъ (чрезвыча'йный па'пскій посла'нникъ)	 
 	аблегация		аблега'ція (удале'ніе изъ оте'чества подъ благови'днымъ предло'гомъ), но облига'ція, но облега'ть	 
 	аблепсия		абле'псія (слѣпота')	 
 	аболиция		аболи'ція (обще'ственное движе'ніе за отмѣ'ну чего'-либо), аболиціони'змъ	 
 	абонемент		абонеме'нтъ (подпи'ска на мѣ'сто въ теа'трѣ, на получе'ніе журна'ловъ, чте'ніе кни'гъ)	 
 	абонент		абоне'нтъ (тотъ, кто на что'-нибудь абони'ровался)	 
 	абонирует		абони'руетъ	 
 	аборигены		абориге'ны (коренны'е тузе'мцы, первобы'тные обита'тели страны'), автохто'ны	 
 	абреже		абреже' (пе'речень основны'хъ темъ и'ли вну'треннихъ заголо'вковъ главы')	 
 	абрек		абре'къ (го'рецъ)	 
 	абсент		абсе'нтъ (крѣ'пкій алкого'льный напи'токъ изъ полы'ни)	 
 	абсурд		абсу'рдъ (чепуха', вздо'ръ, нелѣ'пость)	 
 	абсцесс		абсце'ссъ (гнойни'къ, нары'въ)	 
 	абулия		абулі'я (отсу'тствіе во'ли, нерѣши'тельность, безразсу'дность, неразу'міе)	 
 	абхазец		абха'зецъ	 
 	Абхазия		Абха'зія	 
 	авангард		аванга'рдъ, въ аванга'рдѣ	^
 	авания		ава'нія (оскорбле'ніе, оби'да)	 
 	авансцена		авансце'на (пере'дняя ча'сть сце'ны)	 
 	аварийного		аварі'йнаго	 
 	аварийное		аварі'йное	 
 	аварийные		аварі'йные (м. р.), аварі'йныя (ж. р. и ср. р.)	 
 	аварийный		аварі'йный, аварі'йнаго	 
 	авария		ава'рія, въ ава'ріи, ава'ріей	 
 	Аввакум		Авваку'мъ	 
 	Авгиевы		А'вгіевы (А'вгіевы коню'шни — что'-либо запу'щенное, загрязнённое до послѣ'дняго)	 
 	Авгий		А'вгій	 
 	август		а'вгустъ, въ а'вгустѣ, а'вгустовскій, восьмо'го а'вгуста	 
 	августейший		августѣ'йшій (ти'тулъ)	 
 	Авдеев		Авде'евъ	 
 	Авдей		Авде'й, объ Авде'ѣ, Авде'евъ	 
 	Авель		А'вель	 
 	авеню		авеню'	 
 	Аверин		Аве'ринъ	 
 	Аверкий		Аве'ркій	 
 	аверс		а'версъ (лицева'я сторона' моне'ты и'ли меда'ли съ гербо'мъ и'ли портре'томъ), на а'версѣ	 
 	Аверьян		Аверья'нъ (Валеріа'нъ)	 
 	Авессалом		Авессало'мъ	 
 	авиация		авіа'ція, авіа'тика	 
 	Авиньон		Авиньо'нъ, Авиніо'нъ	 
 	Авксентий		Авксе'нтій	 
 	Аврелий		Авре'лій	 
 	австралиец		австралі'ецъ	 
 	Австралия		Австра'лія	 
 	австриец		австрі'ецъ	 
 	Австрия		А'встрія	 
 	автентическое		автенти'ческое (достовѣ'рное, по'длинное)	 
 	автобиография		автобіогра'фія	 
 	автограф		авто'графъ	 
 	автокефальный		автокефа'льный (церк. самоуправля'ющійся), автокефа'лія	 
 	автократия		автокра'тія	 
 	автоматически		автомати'чески	 
 	автоматические		автомати'ческіе (м. р.), автомати'ческія (ж. р. и ср. р.)	 
 	автоматическое		автомати'ческое	 
 	автомедон		автомедо'нъ (ирон. возни'ца)	 
 	автомобиль		автомоби'ль, (не тачи'ла :)	 
 	автономия		автоно'мія	 
 	автор		а'вторъ, объ а'вторѣ, (не а'ффтаръ :)	 
 	авторитет		авторите'тъ, объ авторите'тѣ	 
 	авторитетный		авторите'тный, авторите'тнаго	 
 	авторские		а'вторскіе (м. р.), а'вторскія (ж. р. и ср. р.)	 
 	авторское		а'вторское пра'во	 
 	агаряне		агаря'не	^
 	Агасфер		Агасве'ръ (по преда'нію и'мя Вѣ'чнаго жида' не умира'ющаго до второ'го прише'ствія)	 
 	Агафангел		Агаѳа'нгелъ	 
 	Агафодор		Агаѳодо'ръ	 
 	Агафоклия		Агаѳо'клія	 
 	Агафон		Агаѳо'нъ	 
 	Агафья		Ага'ѳья	 
 	Аггеев		Агге'евъ	 
 	Аггей		Агге'й, объ Агге'ѣ, Агге'евъ	 
 	аггел		а'ггелъ (злой духъ, діа'волъ, сатана')	 
 	Агеев		Аге'евъ	 
 	агент		аге'нтъ (не а'гентъ!), объ аге'нтѣ, аге'нта, аге'нтомъ, аге'нтами	 
 	агентский		аге'нтскій	 
 	агентство		аге'нтство (не аге'нство!)	 
 	агентура		агенту'ра	 
 	агиасма		агіа'сма (церк. свята'я вода')	 
 	агитационные		агитаціо'нные (м. р.), агитаціо'нныя (ж. р. и ср. р.)	 
 	агитация		агита'ція, агитаціо'нный	 
 	аглицкий		а'глицкій (прoст. англі'йскій), а'глицкаго, а'глицкое	 
 	Агнесса		Агне'са, Агне'съ	 
 	агнец		а'гнецъ (ягнёнокъ), а'гнца, а'гнцемъ, а'гнцевъ, объ а'гнцѣ	 
 	Агния		А'гнія	 
 	агония		аго'нія	 
 	агорафобия		агорафо'бія (боя'знь откры'таго простра'нства)	 
 	Аграфена		Аграфе'на	 
 	агрегат		агрега'тъ, аггрега'тъ, въ агрега'тѣ	 
 	агремент		агреме'нтъ	 
 	агрессия		агре'ссія, агресси'венъ	 
 	агрессор		агре'ссоръ	 
 	ад		адъ, въ аду', объ а'дѣ	^
 	адажио		ада'жіо	 
 	адвокат		адвока'тъ	 
 	адгезия		адге'зія	 
 	адекватный		адеква'тный, адеква'тнаго	 
 	аденома		адено'ма	 
 	аденотомия		аденотомі'я	 
 	адепт		аде'птъ (ре'вностный приве'рженецъ)	 
 	администрация		администра'ція	 
 	адмиралтейство		адмиралте'йство	 
 	Адольф		Адо'льфъ	 
 	адоратер		адо'ратеръ (покло'нникъ, обожа'тель)	 
 	адреналин		адренали'нъ	 
 	адрес		а'дресъ (почто'вый), по а'дресу, на а'дресѣ	 
 	адрес		а'дресъ (поздравле'ніе), въ а'дресѣ	 
